"TIME","GEO","INDIC_EM","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","6 146",""
"2008","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","36.9",""
"2008","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.6",""
"2008","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","6 043",""
"2008","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","36.6",""
"2008","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.5",""
"2008","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","4 778",""
"2008","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","35.6",""
"2008","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.5",""
"2008","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","4 558",""
"2008","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","38.7",""
"2008","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2008","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","4 539",""
"2008","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","38.8",""
"2008","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2008","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","4 518",""
"2008","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","38.9",""
"2008","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2008","Belgium","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","158",""
"2008","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","47.4",""
"2008","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3",""
"2008","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","103",""
"2008","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","51.7",""
"2008","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2008","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","113",""
"2008","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","49.2",""
"2008","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.2",""
"2008","Denmark","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","14",""
"2008","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","13.5",""
"2008","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.5",""
"2008","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","1 626",""
"2008","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","51.8",""
"2008","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.9",""
"2008","Estonia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","12",""
"2008","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","31.1",""
"2008","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.7",""
"2008","Ireland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","38",""
"2008","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","26.1",""
"2008","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.7",""
"2008","Greece","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","183",""
"2008","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","47.1",""
"2008","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.7",""
"2008","Spain","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","467",""
"2008","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","18.0",""
"2008","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.0",""
"2008","France","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":",""
"2008","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":",""
"2008","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9","e"
"2008","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","722",""
"2008","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","36.6",""
"2008","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.6",""
"2008","Croatia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","103",""
"2008","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","62.3",""
"2008","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","5.3",""
"2008","Italy","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","752",""
"2008","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","45.2",""
"2008","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2008","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","2",""
"2008","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","13.6",""
"2008","Cyprus","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.5",""
"2008","Latvia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","21",""
"2008","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","24.1",""
"2008","Latvia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.9",""
"2008","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","19","u"
"2008","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","21.6","u"
"2008","Lithuania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.3","u"
"2008","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","3",""
"2008","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","32.4",""
"2008","Luxembourg","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.6",""
"2008","Hungary","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","151",""
"2008","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","46.2",""
"2008","Hungary","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.6",""
"2008","Malta","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","4",""
"2008","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.7",""
"2008","Malta","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.6",""
"2008","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","83",""
"2008","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","34.0",""
"2008","Netherlands","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.9",""
"2008","Austria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","42",""
"2008","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","24.3",""
"2008","Austria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.0",""
"2008","Poland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","405",""
"2008","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","33.5",""
"2008","Poland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.4",""
"2008","Portugal","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","197",""
"2008","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","47.3",""
"2008","Portugal","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.6",""
"2008","Romania","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","238",""
"2008","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","41.3",""
"2008","Romania","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.4",""
"2008","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","19",""
"2008","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","42.2",""
"2008","Slovenia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.9",""
"2008","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","178",""
"2008","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","69.6",""
"2008","Slovakia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","6.6",""
"2008","Finland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","31",""
"2008","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","18.2",""
"2008","Finland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.2",""
"2008","Sweden","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","38",""
"2008","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","12.3",""
"2008","Sweden","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.8",""
"2008","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","424",""
"2008","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","24.1",""
"2008","United Kingdom","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","1.4",""
"2008","Iceland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":","u"
"2008","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":","u"
"2008","Iceland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population",":","u"
"2008","Norway","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","8",""
"2008","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","12.7",""
"2008","Norway","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.3",""
"2008","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":",""
"2008","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":",""
"2008","Switzerland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","263",""
"2008","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","84.9",""
"2008","Former Yugoslav Republic of Macedonia, the","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","28.7",""
"2008","Turkey","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","543",""
"2008","Turkey","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","23.8",""
"2008","Turkey","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.3",""
"2009","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","7 063",""
"2009","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","33.2",""
"2009","European Union (28 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2009","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","6 963",""
"2009","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","33.0",""
"2009","European Union (27 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.9",""
"2009","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5 613",""
"2009","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","32.8",""
"2009","European Union (15 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2009","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5 287",""
"2009","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","35.1",""
"2009","Euro area (19 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3",""
"2009","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5 237",""
"2009","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","35.2",""
"2009","Euro area (18 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3",""
"2009","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","5 187",""
"2009","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","35.4",""
"2009","Euro area (17 countries)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3",""
"2009","Belgium","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","168",""
"2009","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","44.2",""
"2009","Belgium","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.5",""
"2009","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","103",""
"2009","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","43.3",""
"2009","Bulgaria","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2009","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","106",""
"2009","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","30.0",""
"2009","Czech Republic","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","2.0",""
"2009","Denmark","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","17",""
"2009","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","9.5",""
"2009","Denmark","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","0.6",""
"2009","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","1 450",""
"2009","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","44.9",""
"2009","Germany (until 1990 former territory of the FRG)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.5",""
"2009","Estonia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","25",""
"2009","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","27.3",""
"2009","Estonia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.7",""
"2009","Ireland","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","77","b"
"2009","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","28.8","b"
"2009","Ireland","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.5","b"
"2009","Greece","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","196","b"
"2009","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","40.4","b"
"2009","Greece","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.9","b"
"2009","Spain","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","989",""
"2009","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","23.8",""
"2009","Spain","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","4.3",""
"2009","France","Long-term unemployment","From 15 to 74 years","Total","Thousand persons",":",""
"2009","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment",":",""
"2009","France","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.3","e"
"2009","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","849",""
"2009","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","34.5",""
"2009","France (metropolitan)","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.0",""
"2009","Croatia","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","99",""
"2009","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","55.7",""
"2009","Croatia","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","5.1",""
"2009","Italy","Long-term unemployment","From 15 to 74 years","Total","Thousand persons","844",""
"2009","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of unemployment","44.3",""
"2009","Italy","Long-term unemployment","From 15 to 74 years","Total","Percentage of active population","3.4",""
